date,equity,derivatives,bonds,liquidity,real_estate,commodities,long_term_share,short_term_share
2020-12-31,0.543,0.017,0.272,0.12,0.008,0.041,0.438,0.562
2021-03-31,0.567,0.018,0.258,0.114,0.008,0.035,0.452,0.549
2021-06-30,0.576,0.018,0.25,0.113,0.008,0.036,0.459,0.54
2021-09-30,0.566,0.018,0.25,0.122,0.008,0.035,0.469,0.532
2021-12-31,0.583,0.017,0.234,0.122,0.007,0.036,0.472,0.53
2022-03-31,0.568,0.018,0.225,0.142,0.007,0.039,0.46,0.54
2022-06-30,0.519,0.02,0.241,0.167,0.009,0.044,0.397,0.604
2022-09-30,0.515,0.021,0.246,0.166,0.01,0.041,0.386,0.613
2022-12-31,0.527,0.02,0.253,0.15,0.009,0.04,0.379,0.621
2023-03-31,0.542,0.019,0.262,0.129,0.008,0.04,0.336,0.665
2023-06-30,0.543,0.018,0.271,0.121,0.008,0.038,0.326,0.676
2023-09-30,0.534,0.018,0.284,0.118,0.008,0.037,0.325,0.675
2023-12-31,0.54,0.017,0.294,0.107,0.007,0.035,0.311,0.688
2024-03-31,0.553,0.017,0.289,0.101,0.006,0.035,0.333,0.667
2024-06-30,0.549,0.017,0.285,0.109,0.005,0.034,0.349,0.65
2024-09-30,0.552,0.018,0.287,0.103,0.005,0.036,0.366,0.635
2024-12-31,0.551,0.016,0.284,0.11,0.004,0.034,0.346,0.654
2025-03-31,0.546,0.017,0.286,0.109,0.003,0.039,0.372,0.628
2025-06-30,0.551,0.017,0.283,0.108,0.003,0.036,0.392,0.609
2025-09-30,0.561,0.018,0.278,0.1,0.003,0.041,0.417,0.584
2025-12-31,0.566,0.018,0.274,0.094,0.003,0.045,0.354,0.645
